match_id,kills,deaths,assists,totalGold,ChampionName,lane,visionScore,gameDuration,win,KDA,GoldPerMin,VisionPerMin,lane_encoded,champ_encoded,PredictedRank
EUW1_7630977280,10,4,8,14674,Malphite,TOP,18,1810,1,4.5,8.10718232044199,0.009944751381215469,0,77,Platinum
EUW1_7630925641,8,5,4,11095,Vladimir,MIDDLE,15,1518,1,2.4,7.308959156785244,0.009881422924901186,2,153,Master
EUW1_7630861330,7,9,4,13298,Vladimir,MIDDLE,4,1800,0,1.2222222222222223,7.387777777777778,0.0022222222222222222,2,153,Platinum
EUW1_7630808232,5,12,2,11567,Orianna,TOP,13,1925,0,0.5833333333333334,6.008831168831168,0.006753246753246753,0,97,Silver
EUW1_7630338891,14,5,9,16970,Kassadin,MIDDLE,15,2013,1,4.6,8.430203676105316,0.007451564828614009,2,60,Master
EUW1_7630268455,15,6,0,12467,Galio,MIDDLE,2,1479,0,2.5,8.429344151453686,0.001352265043948614,2,36,Unranked
EUW1_7630227944,2,8,4,9011,Vladimir,TOP,8,1507,0,0.75,5.979429329794293,0.0053085600530856005,0,153,Master
EUW1_7630170681,11,5,7,11830,Vladimir,TOP,10,1478,1,3.6,8.00405953991881,0.006765899864682003,0,153,Master
EUW1_7630069484,3,8,11,9946,Galio,TOP,11,1796,1,1.75,5.5378619153674835,0.006124721603563474,0,36,Emerald
EUW1_7629981924,2,5,17,10914,Galio,MIDDLE,10,1645,1,3.8,6.634650455927051,0.0060790273556231,2,36,Grandmaster
EUW1_7629905914,12,5,6,14310,Vladimir,MIDDLE,12,1682,0,3.6,8.507728894173603,0.007134363852556481,2,153,Emerald
EUW1_7629830349,0,5,1,10661,Sett,TOP,13,1652,0,0.2,6.453389830508475,0.007869249394673124,0,118,Master
EUW1_7629641371,8,3,3,9738,Vladimir,MIDDLE,9,1212,1,3.6666666666666665,8.034653465346535,0.007425742574257425,2,153,Master
EUW1_7629358447,11,9,10,16480,Vladimir,TOP,23,2241,1,2.3333333333333335,7.353859883980366,0.010263275323516287,0,153,Emerald
EUW1_7629300322,11,10,8,14397,Vladimir,TOP,20,2046,0,1.9,7.036656891495602,0.009775171065493646,0,153,Gold
EUW1_7629259268,10,1,9,13312,Vladimir,MIDDLE,13,1524,1,19.0,8.73490813648294,0.00853018372703412,2,153,Master
EUW1_7628633554,6,3,3,10997,Vladimir,MIDDLE,12,1662,0,3.0,6.616726835138388,0.007220216606498195,2,153,Gold
EUW1_7628576246,3,10,1,7704,Vladimir,MIDDLE,4,1306,0,0.4,5.898928024502297,0.0030627871362940277,2,153,Master
EUW1_7628422566,6,4,16,12540,Galio,MIDDLE,11,1756,1,5.5,7.14123006833713,0.006264236902050114,2,36,Master
EUW1_7628240563,11,7,12,13562,Vladimir,JUNGLE,14,1868,0,3.2857142857142856,7.26017130620985,0.007494646680942184,1,153,Silver
EUW1_7628201154,2,0,0,2517,Vladimir,NONE,1,393,1,2.0,6.404580152671755,0.002544529262086514,2,153,Gold
